iter	Logloss
0	0.66332622
1	0.6372334381
2	0.6149357024
3	0.5949318289
4	0.5775089908
5	0.5623565423
6	0.5485927967
7	0.5367794203
8	0.5264644096
9	0.5179811833
10	0.5096062285
11	0.5022947276
12	0.49579214
13	0.4894545844
14	0.4845900627
15	0.4798179305
16	0.4751764544
17	0.4714075917
18	0.4677638342
19	0.4644342227
20	0.4617996355
21	0.4589476147
22	0.4564304474
23	0.4545774315
24	0.4524512637
25	0.4510329824
26	0.4494390812
27	0.44792075
28	0.4463235945
29	0.4447029174
30	0.4436543892
31	0.4423583728
32	0.4412237431
33	0.4401161714
34	0.4391472859
35	0.4381549192
36	0.4373654481
37	0.436774689
38	0.4359259348
39	0.4352867922
40	0.4346083904
41	0.4340891464
42	0.4336727159
43	0.4331728874
44	0.4325203582
45	0.4321182859
46	0.4316244044
47	0.4312934018
48	0.4310237308
49	0.4307793135
50	0.4303981983
51	0.430006709
52	0.4296781191
53	0.4292774032
54	0.4289571143
55	0.4287560637
56	0.4285257121
57	0.4283032714
58	0.4280779938
59	0.427856105
60	0.4276119058
61	0.4274478066
62	0.4271974855
63	0.4270015407
64	0.426888247
65	0.4267044637
66	0.4264031888
67	0.426277063
68	0.4261355845
69	0.425997659
70	0.4258436075
71	0.4257156148
72	0.4255400695
73	0.4253330917
74	0.4251239319
75	0.4250166161
76	0.4249199177
77	0.4248267991
78	0.4247160458
79	0.4246052173
80	0.4245186417
81	0.4244123382
82	0.4243206937
83	0.4242628316
84	0.4241062861
85	0.4240369589
86	0.4239510565
87	0.4237782034
88	0.4236440466
89	0.4234848705
90	0.4233693611
91	0.4233018152
92	0.4231983538
93	0.4231206274
94	0.4230297514
95	0.4229517003
96	0.4228815565
97	0.4228266119
98	0.4227486121
99	0.4226547291
100	0.4225830145
101	0.4225273388
102	0.4224688318
103	0.4224148951
104	0.42230876
105	0.4222482184
106	0.4221567117
107	0.4220736493
108	0.4220212548
109	0.42196111
110	0.4219060081
111	0.4218425897
112	0.4217914615
113	0.4217480993
114	0.4217089388
115	0.4216719531
116	0.4216246182
117	0.4215492447
118	0.4214729354
119	0.4214121949
120	0.42136247
121	0.4212588477
122	0.42119356
123	0.4211423876
124	0.421091104
125	0.4210078441
126	0.4209674361
127	0.4209160125
128	0.4208575051
129	0.4207906393
130	0.4207453144
131	0.4206761842
132	0.4206153877
133	0.4205666902
134	0.4205175146
135	0.4204918302
136	0.4204288144
137	0.4203823718
138	0.4203216817
139	0.4202772164
140	0.4202209067
141	0.4201739922
142	0.4201153932
143	0.4200522831
144	0.4199874225
145	0.419925922
146	0.4198739594
147	0.4198239242
148	0.4197713824
149	0.4197224393
150	0.4196735123
151	0.419634926
152	0.4196007307
153	0.4195684608
154	0.41954033
155	0.4195134807
156	0.4194664366
157	0.4194062621
158	0.4193578273
159	0.4193116235
160	0.4192781091
161	0.4192443927
162	0.4192099467
163	0.4191577879
164	0.4191266484
165	0.419080423
166	0.4190279801
167	0.4189892174
168	0.4189403975
169	0.4189033212
170	0.4188468279
171	0.4188161013
172	0.4187914923
173	0.4187488806
174	0.4187058426
175	0.4186877163
176	0.418666479
177	0.4186178229
178	0.4185607109
179	0.4185095071
180	0.418473705
181	0.4184341651
182	0.418403653
183	0.4183790709
184	0.4183360982
185	0.4182866579
186	0.418244721
187	0.4182090396
188	0.4181544749
189	0.4181285297
190	0.418069637
191	0.4180327943
192	0.4179803712
193	0.4179500727
194	0.4179012208
195	0.4178790476
196	0.4178585998
197	0.4178324114
198	0.4178005834
199	0.4177738512
200	0.4177244448
201	0.4176869766
202	0.4176416727
203	0.417595727
204	0.4175442866
205	0.417507041
206	0.4174623657
207	0.4174222291
208	0.4173891335
209	0.4173363416
210	0.4173037953
211	0.4172631669
212	0.4172064008
213	0.4171678674
214	0.4171275162
215	0.4170994884
216	0.4170482475
217	0.4169981284
218	0.4169622238
219	0.4169177186
220	0.4168643446
221	0.4168187733
222	0.4167607541
223	0.4167233405
224	0.4166766129
225	0.4166359862
226	0.4166033056
227	0.4165763334
228	0.4165571594
229	0.4165157999
230	0.4164939438
231	0.4164659257
232	0.4164093019
233	0.4163738855
234	0.4163330081
235	0.4162893403
236	0.4162404952
237	0.4161989296
238	0.416155062
239	0.416129331
240	0.4160860546
241	0.4160250825
242	0.4159845068
243	0.4159422049
244	0.4158933177
245	0.4158561999
246	0.4158104283
247	0.4157789394
248	0.4157088602
249	0.4156589488
250	0.4156071144
251	0.415573844
252	0.4155360432
253	0.4155045809
254	0.4154434034
255	0.4154113686
256	0.415376458
257	0.4153629806
258	0.4153289282
259	0.4152780847
260	0.4152494435
261	0.4152386642
262	0.4151920233
263	0.4151706262
264	0.4151247255
265	0.4150945696
266	0.4150510323
267	0.4150295344
268	0.4149941268
269	0.4149564562
270	0.4149118866
271	0.4148747297
272	0.4148161898
273	0.4147648736
274	0.414734544
275	0.4146946704
276	0.4146700677
277	0.4146136266
278	0.4145864015
279	0.4145673555
280	0.4145503424
281	0.4145240603
282	0.4145065467
283	0.4144887737
284	0.4144513884
285	0.4144232901
286	0.4143930986
287	0.4143541762
288	0.414317482
289	0.4142810648
290	0.4142534923
291	0.414212789
292	0.4141702286
293	0.4141333121
294	0.4140899335
295	0.4140596932
296	0.4140232759
297	0.4139833262
298	0.4139326548
299	0.4139045618
300	0.4138626165
301	0.4138345381
302	0.4137872595
303	0.4137504683
304	0.4137084247
305	0.4136693229
306	0.4136476043
307	0.4136064215
308	0.4135549702
309	0.4135364008
310	0.4135050264
311	0.4134713547
312	0.4134453595
313	0.4134218184
314	0.4133814122
315	0.4133319706
316	0.4133017596
317	0.4132740139
318	0.4132619741
319	0.4132319962
320	0.413195396
321	0.4131641534
322	0.4131256369
323	0.413078948
324	0.4130524232
325	0.413019549
326	0.4129617751
327	0.4129190342
328	0.4128773753
329	0.4128241712
330	0.4127712592
331	0.4127358907
332	0.4126875196
333	0.4126481536
334	0.4126196337
335	0.4125865587
336	0.412549634
337	0.4125202215
338	0.4124853783
339	0.4124429697
340	0.412414986
341	0.4123748089
342	0.412324017
343	0.4122833262
344	0.4122488134
345	0.4122090985
