iter	Passed	Remaining
0	17	6334
1	36	6650
2	63	7616
3	84	7610
4	102	7321
5	118	7058
6	136	6940
7	163	7233
8	188	7426
9	205	7265
10	225	7227
11	245	7189
12	267	7197
13	284	7095
14	300	6978
15	318	6910
16	335	6820
17	358	6865
18	379	6866
19	397	6812
20	412	6712
21	429	6650
22	448	6624
23	463	6547
24	483	6536
25	498	6460
26	513	6394
27	530	6347
28	547	6302
29	564	6265
30	580	6211
31	596	6170
32	612	6126
33	629	6088
34	646	6054
35	661	6009
36	678	5980
37	695	5949
38	712	5920
39	730	5897
40	748	5881
41	762	5831
42	779	5804
43	795	5768
44	811	5736
45	825	5689
46	842	5663
47	858	5632
48	877	5619
49	893	5596
50	909	5562
51	924	5529
52	944	5526
53	970	5554
54	994	5567
55	1018	5584
56	1039	5579
57	1061	5582
58	1134	5844
59	1219	6158
60	1243	6155
61	1274	6186
62	1303	6206
63	1324	6186
64	1351	6195
65	1388	6247
66	1422	6285
67	1537	6671
68	1600	6821
69	1644	6883
70	1668	6861
71	1690	6830
72	1714	6811
73	1735	6779
74	1757	6747
75	1781	6728
76	1796	6671
77	1812	6623
78	1829	6575
79	1843	6522
80	1865	6493
81	1882	6452
82	1905	6426
83	1924	6391
84	1943	6355
85	1961	6317
86	1976	6271
87	1994	6233
88	2011	6191
89	2026	6146
90	2045	6112
91	2061	6073
92	2078	6034
93	2093	5992
94	2110	5952
95	2126	5914
96	2142	5874
97	2159	5839
98	2176	5805
99	2192	5767
100	2209	5730
101	2224	5692
102	2244	5664
103	2261	5632
104	2278	5597
105	2292	5557
106	2308	5522
107	2323	5486
108	2340	5453
109	2357	5422
110	2374	5389
111	2391	5360
112	2407	5326
113	2422	5291
114	2438	5258
115	2455	5228
116	2471	5195
117	2488	5167
118	2505	5137
119	2522	5107
120	2538	5077
121	2554	5046
122	2570	5014
123	2588	4988
124	2604	4958
125	2620	4929
126	2636	4898
127	2656	4876
128	2672	4847
129	2687	4816
130	2702	4785
131	2718	4757
132	2734	4729
133	2751	4702
134	2769	4677
135	2786	4651
136	2805	4628
137	2822	4601
138	2837	4572
139	2853	4544
140	2867	4515
141	2883	4488
142	2900	4462
143	2917	4437
144	2935	4413
145	2951	4387
146	2967	4359
147	2982	4332
148	2999	4307
149	3015	4281
150	3032	4257
151	3054	4239
152	3075	4220
153	3098	4204
154	3119	4186
155	3143	4171
156	3167	4155
157	3193	4143
158	3216	4126
159	3243	4114
160	3290	4128
161	3321	4120
162	3362	4126
163	3401	4127
164	3433	4120
165	3482	4133
166	3547	4163
167	3584	4160
168	3621	4156
169	3651	4145
170	3672	4123
171	3694	4102
172	3720	4086
173	3740	4062
174	3764	4044
175	3801	4039
176	3835	4030
177	3872	4024
178	3902	4011
179	3933	3999
180	3956	3978
181	4001	3979
182	4032	3966
183	4056	3945
184	4088	3934
185	4118	3919
186	4148	3904
187	4167	3879
188	4191	3859
189	4209	3833
190	4228	3807
191	4244	3779
192	4264	3756
193	4280	3728
194	4297	3702
195	4313	3675
196	4330	3648
197	4347	3623
198	4363	3595
199	4382	3571
200	4399	3545
201	4415	3519
202	4433	3494
203	4633	3611
204	4665	3595
205	4692	3576
206	4718	3555
207	4747	3537
208	4765	3511
209	4828	3518
210	4916	3541
211	4982	3548
212	5029	3541
213	5122	3566
214	5195	3576
215	5237	3564
216	5289	3559
217	5345	3555
218	5391	3545
219	5416	3520
220	5441	3496
221	5463	3469
222	5487	3445
223	5509	3418
224	5529	3391
225	5551	3365
226	5571	3337
227	5591	3310
228	5609	3282
229	5630	3255
230	5649	3228
231	5671	3202
232	5691	3175
233	5709	3147
